GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
"201711240001,2017-11-24,""Egypt"",""Beir al-Abd"",""Sinai Province of the Islamic State"",0,""Sons of Jesus Movement"",1,,,311,127,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,"
"201710140002,2017-10-14,""Somalia"",""Mogadishu"",""Al-Shabaab"",0,588,316,Business,Private Citizens & Property,Airports and Aircraft,Sub-Saharan Africa,,,,Bombing/Explosion,Explosives/Bombs/Dynamite"
"201710110016,2017-10-02,""Syria"",""Qaryatayn"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,128,0,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Firearms,Melee,,"
"201710010023,2017-09-28,""Syria"",""Qaryatayn"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,153,Unknown,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,"
"201707040004,2017-06-04,""Iraq"",""Tal Afar"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,200,0,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,"
"201706010003,2017-06-01,""Iraq"",""Mosul"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,163,0,Private Citizens & Property,,,Middle East & North Africa,Armed Assault,,,Firearms,,,"
"201705180014,2017-05-18,""Libya"",""Brak"",""Misrata Brigades"",0,""Benghazi Defense Brigades (BDB)"",0,,,141,Unknown,Military,Private Citizens & Property,,Middle East & North Africa,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,Melee,,"
"201705130011,2017-05-13,""Central African Republic"",""Bangassou"",""Anti-Balaka Militia"",0,,,,,108,76,Government (Diplomatic),Private Citizens & Property,,Sub-Saharan Africa,Hostage Taking (Barricade Incident),Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,"
"201705080033,2017-05-08,""Central African Republic"",""Alindao"",""Union for Peace in Central Africa (UPC)"",0,,,,,133,Unknown,Private Citizens & Property,,,Sub-Saharan Africa,Hostage Taking (Barricade Incident),Armed Assault,Facility/Infrastructure Attack,Firearms,Incendiary,Melee,"
"201704210001,2017-04-21,""Afghanistan"",""Mazari Sharif"",""Taliban"",0,""Haqqani Network"",1,,,266,64,Military,,,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,"
"201704150002,2017-04-15,""Syria"",""Aleppo"",""Jaysh al-Islam (Syria)"",0,""Hay'at Tahrir al-Sham"",0,""Ahrar al-Sham"",1,127,55,Transportation,Terrorists/Non-state Militia,NGO,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,"
"201703290018,2017-03-29,""Iraq"",""Unknown"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,151,0,Military,,,Middle East & North Africa,Unknown,,,Unknown,,,"
"201703220042,2017-03-17,""Iraq"",""Mosul"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,230,0,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Barricade Incident),,,Explosives/Bombs/Dynamite,Firearms,,"
"201612100011,2016-12-10,""Syria"",""Palmyra"",""Islamic State of Iraq and the Levant (ISIL)"",0,,,,,433,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),Bombing/Explosion,Armed Assault,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,"
